Phoneme	SegmentClass	stress	syllabic	short	long	consonantal	sonorant	continuant	delayedRelease	approximant	tap	trill	nasal	lateral	labial	round	labiodental	coronal	anterior	distributed	strident	dorsal	high	low	front	back	tense	retractedTongueRoot	advancedTongueRoot	periodicGlottalSource	epilaryngealSource	spreadGlottis	constrictedGlottis	fortis	lenis	raisedLarynxEjective	loweredLarynxImplosive	click
œ̠ː	vowel	-	+	-	+	-	+	+	0	+	-	-	-	-	+	+	-	-	-	+	0	+	-	-	+	-	-	-	-	+	-	-	-	0	0	-	-	0
ɛ̠ː	vowel	-	+	-	+	-	+	+	0	+	-	-	-	-	-	0	0	-	-	+	0	+	-	-	+	-	-	-	-	+	-	-	-	0	0	-	-	0
ɞ̠	vowel	-	+	-	-	-	+	+	0	+	-	-	-	-	+	+	-	-	-	+	0	+	-	-	-	-	-	-	-	+	-	-	-	0	0	-	-	0
ɞ̠ː	vowel	-	+	-	+	-	+	+	0	+	-	-	-	-	+	+	-	-	-	+	0	+	-	-	-	-	-	-	-	+	-	-	-	0	0	-	-	0
ɨä̠	vowel	-	+	-	-	-	+	+	0	+	-	-	-	-	-	0	0	-	-	+	0	+	+,-	-,+	-	-	+	-	-	+	-	-	-	0	0	-	-	0
ʉœ̠	vowel	-	+	-	-	-	+	+	0	+	-	-	-	-	+	+	-	-	-	+	0	+	+,-	-	-,+	-	+,-	-	-	+	-	-	-	0	0	-	-	0
ʉɞ̠	vowel	-	+	-	-	-	+	+	0	+	-	-	-	-	+	+	-	-	-	+	0	+	+,-	-	-	-	+,-	-	-	+	-	-	-	0	0	-	-	0
o̞̜	vowel	-	+	-	-	-	+	+	0	+	-	-	-	-	+	0	-	-	0	0	0	+	-	-	-	+	0	-	-	+	-	-	-	0	0	-	-	0
ɑ̟ː	vowel	-	+	-	+	-	+	+	0	+	-	-	-	-	-	0	0	-	0	0	0	+	-	+	-	0	0	-	-	+	-	-	-	0	0	-	-	0
ʊ̜	vowel	-	+	-	-	-	+	+	0	+	-	-	-	-	+	0	-	-	0	0	0	+	+	-	-	+	-	-	-	+	-	-	-	0	0	-	-	0
s̠	consonant	-	-	-	-	+	-	+	+	-	-	-	-	-	-	0	0	+	-	+	+	-	0	0	0	0	0	-	-	-	-	-	-	-	-	-	-	-
iˤæ	vowel	-	+	-	-	-	+	+	0	+	-	-	-	-	-	0	0	-	0	0	0	+	+,-	-,+	+	-	+	-,+,-	-	+	-	-	-	0	0	-	-	0
d̪̺	consonant	-	-	-	-	+	-	-	-	-	-	-	-	-	-	0	0	+	+	-	-	-	0	0	0	0	0	-	-	+	-	-	-	-	-	-	-	-
œ̞ː	vowel	-	+	-	+	-	+	+	0	+	-	-	-	-	+	+	-	-	0	0	0	+	-	0	+	-	-	-	-	+	-	-	-	0	0	-	-	0
q̺	consonant	-	-	-	-	+	-	-	-	-	-	-	-	-	-	0	0	+	0	-	0	+	-	-	-	+	0	-	-	-	-	-	-	-	-	-	-	-
t̺ɕ̺	consonant	-	-	-	-	+	-	-,+	-,+	-	-	-	-	-	-	0	0	+	+	-	-,+	-,+	+	-	+	-	0	-	-	-	-	-	-	-	-	-	-	-
t̺ɕ̺ʼ	consonant	-	-	-	-	+	-	-,+	-,+	-	-	-	-	-	-	0	0	+	+	-	-,+	-,+	+	-	+	-	0	-	-	-	-	-	-,+	-	-	-,+	-	-
n̪̩	consonant	-	+	-	-	+	+	-	0	-	-	-	+	-	-	0	0	+	+	+	-	-	0	0	0	0	0	-	-	+	-	-	-	-	-	-	-	-
e˞	vowel	-	+	-	-	-	+	+	0	+	-	-	-	-	-	0	0	+	+	+	+	+	-	-	+	-	+	-	-	+	-	-	-	0	0	-	-	0
uɑ	vowel	-	+	-	-	-	+	+	0	+	-	-	-	-	+,-	+	-	-	0	0	0	+	+,-	-,+	-	+	+	-	-	+	-	-	-	0	0	-	-	0
uɑ˞	vowel	-	+	-	-	-	+	+	0	+	-	-	-	-	+,-	+	-	-,+	+	+	+	+	+,-	-,+	-	+	+	-	-	+	-	-	-	0	0	-	-	0
yi	vowel	-	+	-	-	-	+	+	0	+	-	-	-	-	+,-	+	-	-	0	0	0	+	+	-	+	-	+	-	-	+	-	-	-	0	0	-	-	0
ɑ˞	vowel	-	+	-	-	-	+	+	0	+	-	-	-	-	-	0	0	+	+	+	+	+	-	+	-	+	0	-	-	+	-	-	-	0	0	-	-	0
i̯æi	vowel	-	-,+,+	-	-	-	+	+	0	+	-	-	-	-	-	0	0	-	0	0	0	+	+,-,+	-,+,-	+	-	+	-	-	+	-	-	-	0	0	-	-	0
